"Folder","FileName","FullPath","SizeBytes","LastWriteTime"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","AK-47 Steel Delta.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\AK-47 Steel Delta.png","711628","2026-01-18 3:50:22 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","AUG Snake Pit.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\AUG Snake Pit.png","816627","2026-01-18 3:50:26 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","AWP Black Nile.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\AWP Black Nile.png","447579","2026-01-18 3:50:21 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","FAMAS Waters of Nephthys.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\FAMAS Waters of Nephthys.png","808979","2026-01-18 3:50:19 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","Glock-18 Ramese's Reach.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\Glock-18 Ramese's Reach.png","1320158","2026-01-18 3:50:21 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","M249 Submerged.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\M249 Submerged.png","455812","2026-01-18 3:50:27 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","M4A1-S Mud-Spec.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\M4A1-S Mud-Spec.png","442722","2026-01-18 3:50:23 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","M4A4 Eye of Horus.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\M4A4 Eye of Horus.png","734711","2026-01-18 3:50:20 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","MAC-10 Echoing Sands.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\MAC-10 Echoing Sands.png","1335549","2026-01-18 3:50:24 PM"
"A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons","MAG-7 Copper Coated.png","A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Anubis-Collection-Package\Weapons\MAG-7 Copper Coated.png","1080801","2026-01-18 3:50:23 PM"
