FullPath,CaseId,CaseName,CollectionName,OriginalFolder,OriginalName,NewFolder,NewName,Rarity,ItemId,Category,MatchedBy,Verified,Confidence,Rationale,Action,CopiedFrom,Resized
COPY,antwerp-2022-nuke-souvenir-package,Antwerp 2022 Nuke Souvenir Package,The-2018-Nuke-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2018-Nuke-Collection,Five-SeveN Coolant.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Antwerp-2022-Nuke-Souvenir-Package\Weapons,antwerp-2022-nuke-souvenir-package--consumer--five-seven-n-coolant.png,consumer,souvenir-five-seven-n-coolant,pistol,collection_copy,True,100,Copied from The-2018-Nuke-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2018-Nuke-Collection\Five-SeveN Coolant.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,SG 553 Bleached.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--consumer--sg-553-bleached.png,consumer,souvenir-sg-553-bleached,rifle,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\SG 553 Bleached.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,MP7 Prey.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--consumer--mp7-prey.png,consumer,souvenir-mp7-prey,smg,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\MP7 Prey.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,P90 Desert DDPAT.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--consumer--p90-desert-ddpat.png,consumer,souvenir-p90-desert-ddpat,smg,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\P90 Desert DDPAT.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,Sawed-Off Parched.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--consumer--sawed-off-parched.png,consumer,souvenir-sawed-off-parched,shotgun,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\Sawed-Off Parched.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,R8 Revolver Desert Brush.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--consumer--r8-revolver-desert-brush.png,consumer,souvenir-r8-revolver-desert-brush,pistol,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\R8 Revolver Desert Brush.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,Five-SeveN Withered Vine.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--industrial--five-seven-withered-vine.png,industrial,souvenir-five-seven-withered-vine,pistol,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\Five-SeveN Withered Vine.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,M249 Midnight Palm.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--industrial--m249-midnight-palm.png,industrial,souvenir-m249-midnight-palm,weapon,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\M249 Midnight Palm.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,MP9 Old Roots.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--industrial--mp9-old-roots.png,industrial,souvenir-mp9-old-roots,smg,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\MP9 Old Roots.png,False
COPY,austin-2025-dust-ii-souvenir-package,Austin 2025 Dust II Souvenir Package,The-2021-Dust-2-Collection,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection,AUG Spalted Wood.png,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Cases\Austin-2025-Dust-Ii-Souvenir-Package\Weapons,austin-2025-dust-ii-souvenir-package--industrial--aug-spalted-wood.png,industrial,souvenir-aug-spalted-wood,rifle,collection_copy,True,100,Copied from The-2021-Dust-2-Collection,copy,A:\Development Environment\Source Control\GitHub\TCSGO\Assets\Collections\The-2021-Dust-2-Collection\AUG Spalted Wood.png,False
